District,Crop,Season,Year,Area_Cultivated,Rainfall,Temperature,Population,Production,Demand
West Godavari,Cotton,Rabi,2013,43674,1030.63,34.81,4300000,30684.76,36197.28
East Godavari,Maize,Summer,2019,35570,1004.91,33.45,2100000,160688.68,105953.58
YSR Kadapa,Cotton,Rabi,2022,16627,913.96,34.65,3300000,16965.57,40810.87
Chittoor,Cotton,Kharif,2015,37288,695.7,36.99,2000000,26478.8,23346.92
Srikakulam,Sugarcane,Kharif,2011,39664,1185.24,31.97,3000000,2344490.79,567254.26
Krishna,Rice,Rabi,2018,33333,812.17,36.37,4200000,143830.06,471708.32
Anantapur,Cotton,Rabi,2016,49012,482.49,24.68,3300000,47502.54,28912.86
East Godavari,Rice,Rabi,2019,37079,563.53,32.03,2100000,116396.06,247777.41
Visakhapatnam,Sugarcane,Rabi,2014,19689,924.21,34.36,3600000,1021658.6,624858.49
Srikakulam,Rice,Summer,2016,25259,1132.27,26.35,3000000,114503.54,373546.45
Guntur,Maize,Kharif,2023,27571,460.85,33.85,2100000,122241.27,95418.78
Prakasam,Cotton,Summer,2013,9009,374.11,34.46,3300000,9051.87,39037.68
Visakhapatnam,Rice,Rabi,2022,45674,1093.38,35.3,3600000,144692.33,320538.41
West Godavari,Groundnut,Summer,2019,45995,1123.75,27.01,4300000,75106.01,92922.77
Chittoor,Rice,Summer,2022,39230,548.74,32.91,2000000,151680.61,209256.42
Prakasam,Cotton,Kharif,2016,46828,639.56,26.87,3300000,45844.36,43873.09
Krishna,Sugarcane,Summer,2011,37226,894.17,33.82,4200000,3376712.3,1049003.05
Krishna,Sugarcane,Kharif,2016,37498,596.94,29.41,4200000,2008542.1,1223008.23
Kurnool,Cotton,Rabi,2013,29820,1089.44,31.56,4200000,25732.75,60704.17
YSR Kadapa,Maize,Summer,2013,41315,396.82,28.65,3300000,149042.04,215737.04
Sri Potti Sriramulu Nellore,Maize,Rabi,2010,30482,334.18,24.59,3100000,144727.93,207608.55
Kurnool,Sugarcane,Kharif,2021,33795,487.64,24.85,4200000,2726385.11,1039448.5
West Godavari,Sugarcane,Rabi,2012,49276,557.48,23.24,4300000,4261673.2,1104381.26
YSR Kadapa,Cotton,Rabi,2014,20875,401.63,31.89,3300000,15133.9,40657.84
Srikakulam,Maize,Kharif,2014,40191,359.12,35.58,3000000,130334.3,152735.33
Prakasam,Sugarcane,Rabi,2011,13453,980.05,22.33,3300000,671515.51,690018.59
Sri Potti Sriramulu Nellore,Maize,Rabi,2013,10260,447.85,23.06,3100000,35019.6,186358.62
Guntur,Sugarcane,Rabi,2010,49629,1122.53,29.32,2100000,3197159.97,547732.02
Chittoor,Rice,Summer,2018,46244,631.2,33.8,2000000,205172.64,216856.67
Prakasam,Groundnut,Rabi,2010,46706,903.55,24.52,3300000,69696.35,59391.25
Kurnool,Chilies,Kharif,2015,43817,502.86,26.35,4200000,90601.61,23553.43
Anantapur,Rice,Summer,2016,26898,516.29,25.71,3300000,115614.88,486496.39
Vizianagaram,Chilies,Summer,2012,6614,817.24,28.38,3300000,16284.22,15672.7
Sri Potti Sriramulu Nellore,Sugarcane,Kharif,2021,32843,804.58,25.6,3100000,2337517.26,777695.98
Sri Potti Sriramulu Nellore,Groundnut,Rabi,2010,45451,991.86,27.64,3100000,52374.69,92242.31
West Godavari,Groundnut,Summer,2016,12687,982.03,33.66,4300000,16410.18,91449.51
Chittoor,Sugarcane,Summer,2012,4801,903.62,31.78,2000000,327376.85,568607.41
East Godavari,Sugarcane,Summer,2022,42048,704.22,23.3,2100000,3386929.35,590018.56
Krishna,Maize,Rabi,2019,41144,1101.58,32.2,4200000,185478.64,217839.61
Krishna,Sugarcane,Summer,2021,29942,860.32,29.63,4200000,2275404.74,729928.19
Anantapur,Cotton,Kharif,2021,11148,1191.18,36.95,3300000,10953.11,30524.25
Srikakulam,Sugarcane,Rabi,2015,47828,1037.43,26.63,3000000,3955908.84,633614.65
West Godavari,Cotton,Kharif,2022,18283,339.88,33.62,4300000,18857.36,63269.94
Srikakulam,Sugarcane,Kharif,2021,20861,588.53,33.69,3000000,1801235.91,595269.06
Guntur,Maize,Summer,2023,35512,814.69,25.54,2100000,116109.16,152124.56
YSR Kadapa,Cotton,Summer,2015,23480,949.32,36.45,3300000,13798.16,30589.52
Prakasam,Rice,Summer,2023,19637,795.3,29.86,3300000,65204.13,488026.67
Vizianagaram,Cotton,Kharif,2021,45621,1007.52,32.86,3300000,39069.92,33182.26
Visakhapatnam,Maize,Rabi,2013,48431,554.39,24.33,3600000,210357.55,223769.63
East Godavari,Chilies,Summer,2021,35401,465.52,26.12,2100000,60925.66,8912.23
Kurnool,Cotton,Summer,2020,24385,348.53,31.38,4200000,23720.33,42410.13
Visakhapatnam,Sugarcane,Kharif,2015,26437,815.98,27.1,3600000,1660993.13,682198.04
YSR Kadapa,Sugarcane,Rabi,2020,9149,919.74,30.0,3300000,801478.14,529578.5
Visakhapatnam,Chilies,Kharif,2019,15671,593.53,27.98,3600000,30807.96,16375.3
West Godavari,Maize,Summer,2013,38469,852.23,32.25,4300000,108672.52,261262.1
Sri Potti Sriramulu Nellore,Groundnut,Kharif,2022,24119,346.94,29.79,3100000,28842.4,66522.54
Anantapur,Sugarcane,Summer,2017,47117,389.36,22.07,3300000,2511214.01,861827.79
Krishna,Rice,Rabi,2018,34781,931.58,32.39,4200000,88429.1,533295.93
Guntur,Maize,Kharif,2011,17279,631.26,28.75,2100000,77991.21,142748.51
Srikakulam,Cotton,Summer,2016,4299,904.2,27.47,3000000,2804.29,42207.53
Vizianagaram,Cotton,Summer,2018,35274,1048.55,23.51,3300000,33952.55,45337.97
West Godavari,Rice,Summer,2018,5803,1067.36,25.53,4300000,17440.25,478866.31
Anantapur,Sugarcane,Summer,2021,18361,454.95,25.58,3300000,924618.44,670632.21
Sri Potti Sriramulu Nellore,Maize,Kharif,2014,19201,737.66,36.97,3100000,91581.49,178499.82
Kurnool,Rice,Summer,2010,29634,960.53,28.92,4200000,101612.21,493327.78
Guntur,Sugarcane,Kharif,2015,15760,996.58,22.67,2100000,1169064.64,428073.31
West Godavari,Maize,Summer,2017,11826,1006.21,24.22,4300000,42655.74,253270.99
Sri Potti Sriramulu Nellore,Cotton,Kharif,2010,22285,505.35,23.26,3100000,12972.08,27095.42
Vizianagaram,Maize,Kharif,2011,47589,473.28,31.42,3300000,175528.46,158685.33
Krishna,Chilies,Summer,2022,46775,831.01,24.99,4200000,94576.41,27766.91
Krishna,Groundnut,Summer,2022,49554,966.98,29.98,4200000,52552.91,77950.54
West Godavari,Maize,Summer,2010,10140,587.23,27.92,4300000,42367.92,192925.2
Krishna,Groundnut,Summer,2014,7798,394.23,34.86,4200000,14455.45,84095.78
Anantapur,Maize,Rabi,2011,1567,945.07,27.13,3300000,5206.85,174856.17
Anantapur,Groundnut,Summer,2019,12624,569.73,29.33,3300000,23784.78,67978.95
Srikakulam,Chilies,Summer,2019,13215,449.73,33.54,3000000,20048.88,15933.36
West Godavari,Cotton,Summer,2023,8966,432.95,28.93,4300000,8573.37,38611.36
Srikakulam,Sugarcane,Kharif,2013,41888,583.42,34.69,3000000,3530891.28,549465.97
West Godavari,Groundnut,Summer,2010,30753,833.41,32.59,4300000,39424.85,82997.27
Kurnool,Chilies,Kharif,2016,45104,622.56,28.57,4200000,114988.68,22709.28
West Godavari,Groundnut,Kharif,2017,38078,318.6,30.06,4300000,54258.82,89021.13
Vizianagaram,Cotton,Kharif,2014,46955,387.22,37.48,3300000,29478.49,44679.84
YSR Kadapa,Groundnut,Kharif,2011,47857,561.45,32.59,3300000,75735.76,77078.93
Guntur,Chilies,Rabi,2017,2982,893.73,36.48,2100000,7741.09,12631.4
Chittoor,Chilies,Summer,2010,34864,388.66,24.86,2000000,86433.08,11924.15
Chittoor,Rice,Kharif,2016,14582,804.59,29.73,2000000,44257.33,215828.51
Sri Potti Sriramulu Nellore,Cotton,Summer,2010,20954,407.9,36.54,3100000,17537.53,46076.49
Krishna,Rice,Kharif,2021,40265,490.45,27.16,4200000,108404.34,346974.66
Guntur,Cotton,Rabi,2015,47313,454.97,37.48,2100000,36983.89,19972.82
Visakhapatnam,Groundnut,Kharif,2022,45350,360.51,23.55,3600000,68966.6,71946.6
YSR Kadapa,Chilies,Summer,2015,16378,904.2,36.44,3300000,29125.55,23378.99
Anantapur,Rice,Summer,2014,44632,717.06,29.12,3300000,154729.9,476258.77
Prakasam,Groundnut,Rabi,2011,5279,1047.95,23.18,3300000,9913.67,91890.0
East Godavari,Chilies,Summer,2011,28924,389.0,36.07,2100000,57852.78,11464.59
Kurnool,Cotton,Summer,2018,18057,430.26,26.03,4200000,17314.41,60489.94
Krishna,Chilies,Kharif,2014,8312,575.81,22.36,4200000,14802.58,18248.07
Krishna,Groundnut,Summer,2014,31353,989.28,24.17,4200000,60331.44,105563.16
Vizianagaram,Rice,Kharif,2016,49208,575.18,32.55,3300000,130217.79,480498.69
Krishna,Rice,Rabi,2015,36137,667.58,37.64,4200000,132974.47,557940.55
Anantapur,Chilies,Summer,2011,21914,571.44,23.78,3300000,51451.12,16409.37
Anantapur,Groundnut,Kharif,2020,17192,372.2,29.39,3300000,30647.09,85948.77
East Godavari,Maize,Summer,2010,18450,1145.49,24.89,2100000,60439.89,105665.11
West Godavari,Cotton,Kharif,2014,6432,793.69,33.92,4300000,4841.95,37758.62
Visakhapatnam,Cotton,Rabi,2013,32012,1009.05,23.89,3600000,27517.97,46873.98
Guntur,Groundnut,Kharif,2021,34455,892.52,25.84,2100000,45973.11,38869.26
Krishna,Maize,Summer,2012,14175,762.83,25.14,4200000,62085.23,184326.55
Chittoor,Rice,Kharif,2011,1068,380.71,30.84,2000000,3466.13,237246.41
Srikakulam,Sugarcane,Summer,2019,11295,878.46,35.97,3000000,719902.47,740662.61
Vizianagaram,Sugarcane,Rabi,2011,7774,439.83,30.18,3300000,416211.12,551588.0
Vizianagaram,Groundnut,Kharif,2023,13190,672.94,22.93,3300000,14315.47,53006.46
Chittoor,Maize,Summer,2013,32286,866.2,31.01,2000000,155123.16,141744.92
Sri Potti Sriramulu Nellore,Maize,Summer,2011,11789,1004.01,34.76,3100000,46860.18,136504.9
Chittoor,Cotton,Summer,2013,29914,916.54,24.11,2000000,24833.98,24174.57
YSR Kadapa,Rice,Kharif,2012,32944,904.38,23.16,3300000,106463.94,484269.18
Sri Potti Sriramulu Nellore,Chilies,Kharif,2018,7891,434.14,25.0,3100000,12342.24,17954.22
Prakasam,Maize,Kharif,2016,22977,611.52,33.94,3300000,89127.16,148146.67
Srikakulam,Chilies,Rabi,2023,31351,338.62,31.47,3000000,52505.04,16131.59
Vizianagaram,Sugarcane,Summer,2022,11316,947.53,30.65,3300000,952611.3,816307.47
Chittoor,Chilies,Summer,2020,34207,1157.33,25.99,2000000,88395.89,13339.88
Prakasam,Rice,Rabi,2021,26654,537.7,27.32,3300000,115068.03,404202.68
West Godavari,Rice,Rabi,2012,8466,378.93,37.45,4300000,30133.68,354329.04
Kurnool,Chilies,Kharif,2022,18637,728.01,25.85,4200000,40139.59,18903.61
Guntur,Groundnut,Kharif,2023,4209,1071.03,36.43,2100000,8011.03,44530.97
Prakasam,Maize,Kharif,2017,37317,796.78,31.29,3300000,152732.38,213509.93
YSR Kadapa,Groundnut,Kharif,2018,4078,342.1,23.97,3300000,6625.65,79795.95
Guntur,Chilies,Kharif,2022,28299,1176.85,29.48,2100000,60986.48,8728.51
Chittoor,Maize,Kharif,2016,37258,1045.78,37.18,2000000,167642.03,135782.01
Visakhapatnam,Cotton,Rabi,2015,4543,418.43,28.7,3600000,3940.31,44049.14
West Godavari,Groundnut,Rabi,2013,30091,1129.62,35.81,4300000,49759.53,122206.43
Prakasam,Groundnut,Rabi,2014,29947,705.62,26.1,3300000,51008.88,72095.57
Srikakulam,Chilies,Summer,2017,23064,634.71,31.13,3000000,54682.88,17147.12
Chittoor,Sugarcane,Summer,2012,7751,714.95,35.5,2000000,511010.32,433554.22
Krishna,Chilies,Kharif,2011,15906,1051.11,36.73,4200000,36504.28,27420.08
Anantapur,Groundnut,Rabi,2012,19096,893.53,29.77,3300000,21772.94,87548.45
Prakasam,Maize,Summer,2021,15425,353.32,32.24,3300000,75626.48,215534.5
Srikakulam,Sugarcane,Summer,2016,12811,1161.84,22.05,3000000,783800.82,602471.71
YSR Kadapa,Chilies,Rabi,2017,18578,433.01,26.05,3300000,35003.78,20546.16
Kurnool,Chilies,Summer,2010,7781,971.01,26.46,4200000,18396.87,21776.36
Krishna,Groundnut,Summer,2022,22290,872.52,23.5,4200000,36183.1,116250.98
Kurnool,Groundnut,Rabi,2016,16563,468.78,26.48,4200000,21991.77,70440.83
Chittoor,Cotton,Summer,2018,26888,453.66,27.14,2000000,17966.34,16528.09
Anantapur,Chilies,Rabi,2021,28491,1083.29,37.5,3300000,72630.89,14374.73
Prakasam,Groundnut,Summer,2022,48565,677.73,32.7,3300000,54829.82,62149.18
Prakasam,Rice,Rabi,2023,33352,889.12,28.82,3300000,82016.03,272693.77
Visakhapatnam,Sugarcane,Summer,2023,22676,753.66,37.81,3600000,1752021.82,612094.81
Vizianagaram,Rice,Summer,2012,1300,954.62,24.45,3300000,4862.52,334699.05
Visakhapatnam,Sugarcane,Rabi,2012,38463,731.32,29.62,3600000,3076262.53,626294.5
Chittoor,Chilies,Summer,2017,45942,558.64,32.35,2000000,104654.07,13614.52
Chittoor,Cotton,Rabi,2013,49990,627.05,22.89,2000000,48708.48,16754.14
Anantapur,Groundnut,Rabi,2023,22008,1073.17,33.47,3300000,41372.79,94746.34
Visakhapatnam,Groundnut,Summer,2017,21221,721.23,23.6,3600000,37084.17,101490.31
Srikakulam,Groundnut,Kharif,2014,30334,492.1,24.24,3000000,38192.43,56752.14
Srikakulam,Chilies,Summer,2023,44518,1141.14,24.56,3000000,87085.91,12751.03
Anantapur,Sugarcane,Kharif,2012,21301,1016.94,36.86,3300000,1617854.41,576757.19
West Godavari,Groundnut,Kharif,2013,8307,350.1,32.93,4300000,12754.81,102457.11
Vizianagaram,Rice,Summer,2023,30251,1199.05,32.49,3300000,84209.25,402811.54
Srikakulam,Groundnut,Kharif,2013,47586,925.43,30.89,3000000,75202.33,61254.48
Sri Potti Sriramulu Nellore,Chilies,Rabi,2017,35157,444.24,26.68,3100000,86621.03,15620.65
Guntur,Cotton,Rabi,2015,9882,513.45,31.93,2100000,7519.1,24613.07
Anantapur,Rice,Kharif,2016,11040,923.2,28.56,3300000,42556.54,334600.08
Anantapur,Groundnut,Rabi,2018,7141,1001.78,24.33,3300000,11456.6,95965.56
East Godavari,Groundnut,Summer,2015,46878,515.13,33.03,2100000,65129.43,44849.37
Krishna,Maize,Rabi,2012,6969,531.27,24.07,4200000,28967.7,200312.62
Krishna,Sugarcane,Kharif,2022,14162,576.41,25.05,4200000,818972.96,757827.33
Sri Potti Sriramulu Nellore,Rice,Summer,2012,10131,838.22,35.08,3100000,36439.44,385080.68
Visakhapatnam,Maize,Rabi,2020,6037,454.63,32.56,3600000,28477.68,185159.36
West Godavari,Cotton,Summer,2012,23378,393.82,32.1,4300000,21608.17,40082.72
Chittoor,Sugarcane,Kharif,2021,15693,910.98,28.69,2000000,1004886.99,397228.35
Chittoor,Rice,Rabi,2019,27626,1001.19,28.34,2000000,74186.28,203103.42
Kurnool,Groundnut,Summer,2011,3451,750.84,33.04,4200000,6108.09,103999.01
Sri Potti Sriramulu Nellore,Rice,Summer,2010,1024,627.45,33.84,3100000,3078.74,285905.89
Anantapur,Groundnut,Rabi,2020,6962,688.84,30.16,3300000,7642.46,86655.53
Sri Potti Sriramulu Nellore,Sugarcane,Summer,2019,36324,649.57,37.51,3100000,2459065.94,628318.9
Sri Potti Sriramulu Nellore,Groundnut,Summer,2010,32415,1163.99,37.29,3100000,55608.69,70792.64
YSR Kadapa,Cotton,Kharif,2013,25016,991.28,28.6,3300000,23717.09,41526.78
Sri Potti Sriramulu Nellore,Chilies,Kharif,2012,17444,487.28,35.13,3100000,44981.84,18298.28
Krishna,Groundnut,Kharif,2014,41443,645.77,30.69,4200000,50579.81,106139.33
YSR Kadapa,Cotton,Kharif,2021,17506,789.61,30.19,3300000,12272.08,33851.96
Sri Potti Sriramulu Nellore,Chilies,Kharif,2018,39384,851.69,22.88,3100000,83942.61,22853.43
Vizianagaram,Sugarcane,Kharif,2021,44062,721.37,31.18,3300000,3660513.89,740053.25
Guntur,Sugarcane,Rabi,2022,32693,1029.11,36.41,2100000,1923366.82,430648.48
Chittoor,Rice,Kharif,2017,47778,990.85,34.48,2000000,158184.37,201495.15
YSR Kadapa,Cotton,Summer,2021,25248,754.64,34.58,3300000,19088.3,27386.25
Kurnool,Cotton,Rabi,2018,47162,1068.99,24.56,4200000,43908.28,53733.29
Guntur,Maize,Summer,2022,43690,975.98,27.74,2100000,147595.19,103294.87
Kurnool,Maize,Kharif,2014,5089,1000.72,25.73,4200000,26081.23,308962.74
East Godavari,Chilies,Kharif,2017,48216,1160.76,27.05,2100000,97037.43,9946.77
Kurnool,Chilies,Summer,2013,3472,539.82,31.27,4200000,6036.0,24583.52
Chittoor,Maize,Summer,2014,44237,540.88,27.84,2000000,154045.7,131482.95
Chittoor,Chilies,Summer,2021,41218,1100.06,30.97,2000000,58610.35,14090.81
YSR Kadapa,Groundnut,Rabi,2012,36732,995.0,29.02,3300000,61459.53,60028.49
Sri Potti Sriramulu Nellore,Maize,Kharif,2014,9104,1133.89,26.59,3100000,42445.36,230916.07
Prakasam,Cotton,Summer,2021,18694,356.82,23.53,3300000,10759.62,47345.9
East Godavari,Groundnut,Kharif,2012,25730,864.98,36.27,2100000,40584.99,61907.78
YSR Kadapa,Chilies,Summer,2014,35980,430.17,22.18,3300000,84121.5,23048.35
Vizianagaram,Sugarcane,Kharif,2020,10454,753.51,22.03,3300000,677440.97,933483.18
Anantapur,Rice,Rabi,2023,40560,440.17,35.23,3300000,136231.2,402329.48
Srikakulam,Maize,Kharif,2014,10554,415.27,37.95,3000000,38711.01,208757.56
Kurnool,Sugarcane,Summer,2015,26513,310.95,33.63,4200000,1650628.6,985999.85
Prakasam,Chilies,Kharif,2018,42471,867.21,22.24,3300000,84490.54,19416.41
Sri Potti Sriramulu Nellore,Cotton,Rabi,2010,46987,623.12,25.63,3100000,30058.91,37007.99
Krishna,Rice,Rabi,2021,31985,394.67,37.55,4200000,107963.58,628917.47
Anantapur,Sugarcane,Kharif,2019,25762,590.55,34.94,3300000,2281396.55,576230.42
West Godavari,Rice,Summer,2023,49167,452.05,31.07,4300000,123288.44,586488.6
Visakhapatnam,Maize,Rabi,2015,41428,1147.53,25.79,3600000,132378.38,178437.38
Prakasam,Chilies,Rabi,2010,2702,588.0,22.23,3300000,6304.42,17372.17
Krishna,Cotton,Kharif,2015,18038,600.56,22.33,4200000,11244.66,35967.68
East Godavari,Chilies,Rabi,2011,23219,1055.87,31.79,2100000,40065.25,10984.07
West Godavari,Rice,Rabi,2017,5271,882.98,22.35,4300000,17948.61,642219.57
YSR Kadapa,Sugarcane,Summer,2020,28397,939.15,37.9,3300000,2516338.1,711446.0
Sri Potti Sriramulu Nellore,Maize,Summer,2012,9955,872.4,24.93,3100000,32258.21,196661.14
Anantapur,Maize,Summer,2019,30602,1151.58,33.37,3300000,153481.36,145942.37
Anantapur,Chilies,Kharif,2023,45227,486.3,24.48,3300000,102313.85,23854.84
Anantapur,Sugarcane,Rabi,2015,32545,1190.14,30.64,3300000,2512086.27,910418.37
East Godavari,Sugarcane,Kharif,2015,24116,1047.86,23.29,2100000,1914539.96,449570.53
West Godavari,Rice,Rabi,2013,7674,830.08,34.27,4300000,19304.85,448887.46
Kurnool,Chilies,Rabi,2014,18469,896.13,31.36,4200000,28048.51,23154.32
Visakhapatnam,Chilies,Rabi,2011,6446,883.94,23.38,3600000,11614.47,19455.85
Vizianagaram,Groundnut,Summer,2019,21760,352.56,35.58,3300000,24296.58,64721.95
East Godavari,Chilies,Kharif,2019,2963,496.21,30.75,2100000,7659.67,15682.72
Srikakulam,Maize,Kharif,2017,43745,1165.32,36.75,3000000,183422.32,205107.38
Visakhapatnam,Rice,Rabi,2019,11466,780.93,36.67,3600000,39826.25,355516.66
Chittoor,Sugarcane,Kharif,2016,28262,640.52,36.73,2000000,2317243.63,594882.94
Sri Potti Sriramulu Nellore,Chilies,Summer,2019,6177,985.83,23.24,3100000,15889.41,12568.5
East Godavari,Rice,Kharif,2015,12160,772.07,23.94,2100000,54182.2,232370.95
Krishna,Chilies,Rabi,2016,38340,311.85,37.8,4200000,90163.33,25171.43
Visakhapatnam,Sugarcane,Summer,2021,8543,962.61,29.8,3600000,553939.38,594943.66
Srikakulam,Cotton,Summer,2010,42675,959.0,25.81,3000000,25249.11,27381.78
Chittoor,Sugarcane,Rabi,2023,17626,448.63,34.31,2000000,936501.69,392276.7
Kurnool,Sugarcane,Kharif,2023,40278,1160.99,26.23,4200000,1975571.39,1095493.51
West Godavari,Sugarcane,Rabi,2014,30607,501.52,33.64,4300000,1502189.09,1253725.6
Krishna,Chilies,Kharif,2016,21299,711.97,35.4,4200000,53752.42,25980.67
YSR Kadapa,Groundnut,Kharif,2010,18221,403.26,34.55,3300000,34334.11,78794.97
Visakhapatnam,Sugarcane,Summer,2011,4323,842.95,26.38,3600000,333032.07,846526.6
Sri Potti Sriramulu Nellore,Maize,Rabi,2018,43305,637.91,28.43,3100000,196778.97,162051.35
West Godavari,Maize,Summer,2021,11615,617.86,28.61,4300000,46828.2,296571.01
Krishna,Rice,Rabi,2012,2432,1044.28,29.86,4200000,7173.11,494985.63
Chittoor,Groundnut,Rabi,2015,24238,308.61,24.68,2000000,45396.48,38442.89
Krishna,Rice,Summer,2016,41423,1018.15,29.24,4200000,125642.26,376228.38
West Godavari,Maize,Rabi,2018,9431,814.3,30.17,4300000,43148.82,320319.63
Guntur,Maize,Rabi,2014,9330,1187.49,30.51,2100000,31619.8,85284.28
Vizianagaram,Cotton,Kharif,2013,45153,830.5,35.12,3300000,44144.79,47962.46
Prakasam,Sugarcane,Rabi,2020,9611,349.84,30.28,3300000,733819.61,628856.13
Kurnool,Maize,Rabi,2021,14872,345.58,25.69,4200000,64581.18,264659.78
Chittoor,Chilies,Summer,2011,35930,1094.84,32.61,2000000,54500.09,10110.73
West Godavari,Chilies,Summer,2012,7486,1057.09,34.76,4300000,14248.57,30140.15
Vizianagaram,Rice,Rabi,2014,37870,611.3,27.11,3300000,134525.9,389535.87
Vizianagaram,Rice,Kharif,2020,24258,856.23,32.32,3300000,74410.84,296584.34
YSR Kadapa,Sugarcane,Kharif,2022,49716,740.63,24.35,3300000,4275622.42,652663.77
Krishna,Sugarcane,Summer,2011,44186,1170.45,27.47,4200000,3719671.93,860347.32
Prakasam,Cotton,Rabi,2022,2168,1154.96,36.55,3300000,1727.76,46864.81
Vizianagaram,Groundnut,Rabi,2013,1415,1185.46,36.58,3300000,1918.78,88223.31
Prakasam,Rice,Kharif,2010,11905,1079.8,31.21,3300000,49206.21,455634.67
Krishna,Sugarcane,Kharif,2013,47200,1118.6,33.24,4200000,2703117.61,702724.29
West Godavari,Rice,Kharif,2016,6243,495.55,35.66,4300000,16232.95,518213.44
Sri Potti Sriramulu Nellore,Sugarcane,Summer,2023,17533,1047.91,37.34,3100000,892777.56,929642.79
Guntur,Maize,Rabi,2021,28020,937.97,29.84,2100000,81057.37,141712.17
Vizianagaram,Rice,Summer,2012,23908,1166.51,30.99,3300000,83120.13,291883.47
East Godavari,Maize,Rabi,2019,6899,814.14,28.65,2100000,23544.58,133893.14
Guntur,Rice,Summer,2017,34606,376.65,23.15,2100000,134956.06,277562.6
Krishna,Groundnut,Rabi,2015,39912,837.66,28.76,4200000,65395.91,97437.8
YSR Kadapa,Cotton,Kharif,2015,10888,917.92,34.65,3300000,8930.01,28219.2
Kurnool,Chilies,Kharif,2023,46299,498.29,34.88,4200000,84422.15,17309.89
East Godavari,Chilies,Kharif,2010,16935,654.7,36.28,2100000,40991.97,15292.9
Chittoor,Chilies,Summer,2014,8466,838.65,22.82,2000000,19062.41,9802.6
YSR Kadapa,Maize,Kharif,2012,16095,636.7,30.43,3300000,55554.51,175770.82
Guntur,Sugarcane,Rabi,2019,12193,637.45,23.72,2100000,854374.77,569811.6
Krishna,Chilies,Summer,2010,2320,419.78,25.21,4200000,3683.06,26932.13
Guntur,Groundnut,Rabi,2017,47032,1146.67,36.4,2100000,63300.31,62075.83
Vizianagaram,Chilies,Summer,2016,13227,975.44,29.95,3300000,34344.81,14272.29
YSR Kadapa,Rice,Rabi,2016,18907,301.12,34.14,3300000,55209.82,427298.42
West Godavari,Maize,Rabi,2021,39002,989.05,23.03,4300000,174570.05,184375.44
East Godavari,Rice,Summer,2019,45838,965.82,28.67,2100000,135253.23,168024.33
Srikakulam,Rice,Summer,2023,39912,308.76,32.79,3000000,176414.33,265248.35
Visakhapatnam,Rice,Kharif,2019,1552,632.64,24.13,3600000,4813.18,443414.91
Guntur,Cotton,Kharif,2019,21140,846.07,27.21,2100000,15356.32,26740.03
Chittoor,Cotton,Rabi,2013,21055,707.48,23.03,2000000,17792.58,22136.76
Chittoor,Sugarcane,Rabi,2022,49737,1000.19,32.42,2000000,3665651.44,332899.8
Anantapur,Maize,Rabi,2020,34367,682.91,37.53,3300000,143990.28,205233.86
YSR Kadapa,Groundnut,Summer,2015,16098,438.48,35.23,3300000,25208.33,56764.77
Guntur,Groundnut,Summer,2022,25061,1178.77,37.59,2100000,33355.39,37766.75
Visakhapatnam,Groundnut,Kharif,2018,32054,517.84,35.53,3600000,46188.83,83433.81
Sri Potti Sriramulu Nellore,Rice,Rabi,2023,15800,945.92,35.68,3100000,58400.12,321861.0
Vizianagaram,Cotton,Kharif,2012,43124,428.84,31.23,3300000,38044.41,37135.82
Prakasam,Maize,Summer,2018,46638,596.11,30.29,3300000,158919.43,205351.38
West Godavari,Rice,Summer,2013,46192,697.82,28.5,4300000,181215.73,392162.12
Visakhapatnam,Cotton,Summer,2014,26579,473.01,35.09,3600000,26663.32,51305.79
Prakasam,Cotton,Kharif,2016,2982,704.96,24.91,3300000,2754.79,39323.99
YSR Kadapa,Chilies,Summer,2015,41598,441.45,22.9,3300000,62441.9,13455.18
Prakasam,Chilies,Rabi,2019,36765,803.11,37.17,3300000,72167.91,20458.63
Srikakulam,Maize,Kharif,2017,18070,897.34,22.06,3000000,69472.52,168633.79
Anantapur,Maize,Summer,2017,31886,356.19,37.63,3300000,115032.19,213039.32
Visakhapatnam,Maize,Kharif,2017,45374,1084.02,33.66,3600000,180550.78,242788.24
YSR Kadapa,Rice,Kharif,2012,35527,466.63,27.26,3300000,119840.78,480873.16
Visakhapatnam,Sugarcane,Summer,2023,40791,502.83,33.17,3600000,2009330.4,1079166.28
Srikakulam,Maize,Summer,2019,30513,895.21,35.09,3000000,102759.63,177709.78
Guntur,Chilies,Kharif,2015,23592,721.88,25.93,2100000,39081.06,12527.09
Guntur,Sugarcane,Kharif,2016,47660,749.46,34.33,2100000,3034459.81,342598.9
Guntur,Rice,Summer,2018,24618,415.34,34.87,2100000,69333.13,295180.06
Kurnool,Sugarcane,Rabi,2019,16409,1025.16,25.99,4200000,850768.26,688886.18
Prakasam,Groundnut,Kharif,2019,10529,855.35,22.67,3300000,12918.57,82029.11
Kurnool,Sugarcane,Kharif,2023,25154,421.84,25.27,4200000,2134967.01,729963.26
Anantapur,Maize,Rabi,2021,33882,636.6,25.21,3300000,159682.29,165014.36
West Godavari,Rice,Summer,2013,45917,1029.37,23.04,4300000,155126.09,386239.2
Srikakulam,Maize,Summer,2014,17952,811.52,33.62,3000000,88086.09,134426.4
YSR Kadapa,Chilies,Rabi,2017,16701,397.78,28.08,3300000,28044.3,14061.64
